Date,Open,High,Low,Close,Adj Close,Volume
2000-10-06,114.000000,116.125000,112.750000,116.000000,71.506126,6108400
2000-10-09,115.937500,119.375000,114.312500,117.937500,72.700470,4898000
2000-10-10,116.625000,117.125000,112.437500,114.875000,70.812645,5614200
2000-10-11,111.875000,112.937500,107.500000,112.000000,69.040413,8775800
2000-10-12,114.250000,114.375000,103.125000,103.125000,63.569565,9704900
2000-10-13,104.187500,110.437500,104.187500,109.062500,67.229630,9092600
2000-10-16,111.500000,113.125000,108.562500,111.125000,68.501030,7710400
2000-10-17,111.937500,113.875000,108.562500,113.000000,69.656837,8882500
2000-10-18,96.750000,99.125000,90.250000,95.437500,58.830761,29777800
2000-10-19,98.000000,98.500000,92.687500,96.437500,59.447193,17966900
2000-10-20,95.125000,96.250000,94.187500,94.750000,58.406960,9369200
2000-10-23,94.750000,95.000000,91.062500,92.875000,57.251163,9338600
2000-10-24,93.000000,94.375000,90.187500,91.437500,56.365036,8826200
2000-10-25,90.500000,90.937500,86.937500,87.562500,53.976334,14058500
2000-10-26,88.000000,92.875000,87.625000,92.750000,57.174103,10135700
2000-10-27,93.000000,93.687500,91.000000,93.687500,57.751999,6431400
2000-10-30,93.500000,93.750000,90.312500,93.312500,57.520844,8084000
2000-10-31,93.750000,99.125000,93.750000,98.500000,60.718563,10902600
2000-11-01,98.437500,99.875000,97.250000,98.562500,60.757095,7466200
2000-11-02,99.000000,102.312500,98.500000,101.937500,62.837532,7445100
2000-11-03,102.500000,102.625000,99.375000,100.125000,61.720276,5848500
2000-11-06,99.875000,102.375000,99.437500,100.312500,61.835854,4448500
2000-11-07,101.125000,103.500000,100.687500,102.312500,63.068722,5420600
2000-11-08,103.625000,103.750000,99.250000,100.000000,61.721661,6990800
2000-11-09,96.750000,100.000000,95.687500,99.437500,61.374466,9047900
2000-11-10,98.000000,98.375000,93.000000,93.000000,57.401142,6807900
2000-11-13,91.812500,99.437500,91.625000,97.437500,60.140038,8684900
2000-11-14,99.250000,99.875000,98.500000,99.500000,61.413029,5150900
2000-11-15,99.500000,100.062500,97.625000,99.375000,61.335884,4160300
2000-11-16,99.250000,99.687500,98.250000,98.250000,60.641495,3739700
2000-11-17,98.312500,102.500000,98.250000,101.937500,62.917488,7717400
2000-11-20,101.500000,103.250000,100.875000,103.250000,63.727619,7426600
2000-11-21,103.250000,104.375000,98.500000,98.500000,60.795830,7180700
2000-11-22,98.500000,100.812500,98.312500,98.500000,60.795830,5537100
2000-11-24,99.375000,101.750000,99.250000,99.937500,61.683086,2497500
2000-11-27,100.437500,102.000000,98.437500,98.437500,60.757256,3866200
2000-11-28,98.750000,100.750000,97.375000,97.875000,60.410084,4799100
2000-11-29,97.750000,99.937500,96.687500,99.812500,61.605907,5524600
2000-11-30,98.000000,98.000000,92.250000,93.500000,57.709740,10651400
2000-12-01,94.437500,99.312500,94.375000,95.625000,59.021320,7525100
2000-12-04,96.000000,99.187500,95.750000,98.375000,60.718643,5566800
2000-12-05,100.437500,104.750000,99.625000,103.375000,63.804741,7804200
2000-12-06,101.750000,101.812500,94.812500,96.750000,59.715725,10096900
2000-12-07,95.062500,95.937500,93.125000,93.125000,57.478268,7922000
2000-12-08,98.000000,99.000000,95.750000,97.000000,59.869987,6140600
2000-12-11,96.500000,98.250000,93.750000,95.000000,58.635578,6185600
2000-12-12,95.250000,96.125000,92.500000,93.875000,57.941193,7913300
2000-12-13,94.875000,96.625000,90.687500,91.250000,56.320992,6992600
2000-12-14,92.000000,93.687500,91.812500,92.437500,57.053928,6131400
2000-12-15,90.000000,90.687500,87.312500,87.812500,54.199318,14254500
2000-12-18,88.375000,90.500000,88.375000,90.500000,55.858082,7693800
2000-12-19,90.187500,94.437500,89.812500,90.125000,55.626640,7705300
2000-12-20,85.875000,88.000000,84.812500,86.000000,53.080627,12579400
2000-12-21,85.500000,87.937500,80.062500,81.562500,50.341732,12725500
2000-12-22,84.500000,89.375000,84.500000,89.000000,54.932266,9514000
2000-12-26,89.000000,89.562500,84.250000,84.812500,52.347668,6052300
2000-12-27,84.750000,88.125000,83.562500,84.687500,52.270519,8245100
2000-12-28,83.500000,88.187500,82.125000,85.250000,52.617699,9798600
2000-12-29,86.937500,86.937500,84.250000,85.000000,52.463387,6943700
2001-01-02,84.500000,87.500000,84.125000,84.812500,52.347668,8007200
2001-01-03,83.750000,95.000000,83.750000,94.625000,58.404099,12769900
2001-01-04,94.750000,99.750000,92.687500,93.187500,57.516869,15420500
2001-01-05,93.937500,94.687500,91.000000,94.000000,58.018333,8043200
2001-01-08,93.500000,93.937500,91.562500,93.562500,57.748314,6064800
2001-01-09,94.437500,95.750000,91.437500,92.562500,57.131100,7547100
2001-01-10,92.500000,94.937500,91.687500,93.437500,57.671135,7656100
2001-01-11,92.937500,94.250000,91.250000,93.687500,57.825462,9635000
2001-01-12,93.687500,96.437500,92.375000,93.812500,57.902630,6448000
2001-01-16,93.750000,94.000000,91.812500,92.750000,57.246849,5671900
2001-01-17,95.375000,97.750000,94.312500,96.687500,59.677120,9727000
2001-01-18,104.375000,110.000000,103.500000,108.312500,66.852264,25244900
2001-01-19,107.500000,113.937500,107.250000,111.250000,68.665352,14762200
2001-01-22,109.500000,109.937500,108.187500,108.562500,67.006577,9618500
2001-01-23,109.562500,109.937500,107.625000,109.062500,67.315193,9826900
2001-01-24,109.062500,111.437500,108.937500,110.437500,68.163849,6760900
2001-01-25,110.125000,111.125000,109.437500,110.750000,68.356728,4982100
2001-01-26,109.625000,115.250000,109.187500,114.187500,70.478401,9095200
2001-01-29,112.500000,115.500000,112.470001,114.980003,70.967575,5125000
2001-01-30,115.000000,116.750000,113.400002,116.610001,71.973602,8242000
2001-01-31,115.750000,116.750000,112.000000,112.000000,69.128242,8314200
2001-02-01,112.400002,114.339996,111.199997,114.050003,70.393539,5580800
2001-02-02,112.750000,113.989998,109.599998,110.269997,68.060432,5428400
2001-02-05,109.400002,112.599998,109.300003,112.220001,69.264038,5113700
2001-02-06,112.230003,115.690002,111.199997,114.190002,70.479958,7526400
2001-02-07,113.400002,117.599998,112.669998,116.910004,72.241013,9006900
2001-02-08,116.910004,118.199997,114.029999,114.099998,70.504669,8380800
2001-02-09,114.029999,114.989998,111.000000,112.000000,69.207031,6318800
2001-02-12,110.550003,115.720001,110.300003,114.900002,70.999016,6729300
2001-02-13,114.150002,117.379997,113.070000,113.750000,70.288391,7193200
2001-02-14,113.750000,116.169998,112.500000,115.099998,71.122581,7032900
2001-02-15,116.800003,118.639999,116.379997,116.779999,72.160660,8098700
2001-02-16,114.550003,115.750000,113.940002,115.000000,71.060768,7073000
2001-02-20,114.550003,115.599998,110.779999,111.500000,68.898048,6748300
2001-02-21,109.550003,111.500000,107.290001,107.510002,66.432549,9156900
2001-02-22,106.500000,110.900002,103.379997,108.900002,67.291466,11709000
2001-02-23,107.500000,107.500000,100.250000,104.000000,64.263695,15276600
2001-02-26,105.800003,105.800003,101.830002,105.300003,65.066956,8344100
2001-02-27,104.900002,106.870003,102.559998,102.589996,63.392387,9787900
2001-02-28,102.949997,103.540001,99.099998,99.900002,61.730206,11933200
2001-03-01,99.300003,106.400002,97.500000,106.050003,65.530418,15102000
2001-03-02,104.000000,107.650002,100.940002,102.300003,63.213207,14745500
2001-03-05,102.809998,105.599998,102.639999,104.910004,64.825951,6743900
2001-03-06,106.250000,108.400002,105.250000,106.000000,65.499519,8120000
2001-03-07,107.449997,108.250000,105.660004,107.550003,66.457298,7788900
2001-03-08,107.169998,107.339996,105.370003,106.470001,65.789917,6793600
2001-03-09,105.000000,105.010002,97.900002,99.290001,61.353233,16688100
2001-03-12,97.900002,98.400002,95.019997,95.489998,59.005169,14494800
2001-03-13,95.099998,98.440002,94.199997,98.389999,60.797142,12127900
2001-03-14,95.400002,98.900002,93.339996,94.959999,58.677689,14246600
2001-03-15,96.000000,97.870003,95.169998,95.559998,59.048416,8420000
2001-03-16,93.900002,93.900002,88.199997,90.099998,55.674595,20029400
2001-03-19,91.000000,92.800003,89.199997,92.599998,57.219383,10235500
2001-03-20,91.599998,92.029999,88.099998,88.300003,54.562325,10101100
2001-03-21,88.449997,91.599998,87.750000,89.080002,55.044296,11013000
2001-03-22,89.120003,91.000000,87.650002,89.099998,55.056652,13328200
2001-03-23,93.500000,94.989998,90.290001,93.510002,57.781700,12233600
2001-03-26,95.250000,95.660004,93.750000,95.400002,58.949558,8581200
2001-03-27,94.000000,100.000000,93.970001,99.500000,61.483021,11851200
2001-03-28,97.900002,98.449997,94.250000,94.410004,58.337811,11890500
2001-03-29,94.459999,97.070000,94.260002,95.040001,58.727097,10553700
2001-03-30,96.500000,97.559998,95.139999,96.180000,59.431515,9461300
2001-04-02,97.449997,98.099998,93.580002,94.660004,58.492283,8787000
2001-04-03,94.599998,94.650002,90.099998,90.389999,55.853779,13330000
2001-04-04,90.449997,94.050003,90.050003,92.000000,56.848637,13515600
2001-04-05,95.800003,100.000000,95.529999,98.209999,60.685909,12506100
2001-04-06,98.000000,100.000000,96.400002,97.949997,60.525249,13424200
2001-04-09,98.500000,98.739998,93.800003,96.000000,59.320297,9486600
2001-04-10,97.000000,99.900002,96.559998,99.050003,61.204967,10499400
2001-04-11,101.500000,101.940002,95.800003,97.430000,60.203938,11498400
2001-04-12,96.400002,97.500000,95.150002,96.199997,59.443893,9390100
